model,risk_seed,source_group,clips,error_reduction,revision_path_reduction,revision_opportunity_reduction,coverage_gap
ridge,1,test1,9,0.10287659200702681,0.12962962962962965,0.058410188844971456,0.0185185185185186
ridge,1,test10,3,0.03532608695652173,-0.1111111111111111,0.02309782608695654,0.16666666666666663
ridge,1,test11,19,0.09403267819085959,0.08771929824561406,0.04937248401610231,0.00877192982456143
ridge,1,test12,33,0.11432811656772807,0.08080808080808083,0.05629609642021946,0.005050505050505083
ridge,1,test13,13,0.038507960227599225,0.02564102564102566,0.038163112822576006,0.0
ridge,1,test14,15,0.24420270391261534,0.022222222222222254,0.026233324379980272,0.011111111111111072
ridge,1,test15,21,0.262129858331204,0.02380952380952378,0.050052522499503205,0.0
ridge,1,test2,23,0.013416872349851228,0.007246376811594235,0.03035672847710058,0.02898550724637683
ridge,1,test3,5,-0.016025641025641024,0.23333333333333334,0.125,0.06666666666666665
ridge,1,test4,2,0.0714285714285714,0.16666666666666666,0.14285714285714285,0.33333333333333337
ridge,1,test5,19,0.30124223602484473,0.3157894736842105,0.17852133840913648,0.07894736842105254
ridge,1,test6,8,0.12159773771650756,0.125,0.043301519971721464,0.14583333333333337
ridge,1,test7,10,0.08179669030732861,-0.033333333333333326,-0.011820330969267157,0.06666666666666665
ridge,1,test8,7,0.11050420168067232,0.19047619047619047,0.10924369747899157,0.04761904761904756
ridge,1,test9,3,0.0016339869281045694,-0.1111111111111111,-0.0522875816993464,0.0
ridge,12,test1,9,0.1094461094461095,0.14814814814814814,0.06748806748806749,0.03703703703703709
ridge,12,test10,3,0.03532608695652173,-0.1111111111111111,0.02309782608695654,0.16666666666666663
ridge,12,test11,19,0.10374141605493725,0.09649122807017546,0.05422685294814114,0.00877192982456143
ridge,12,test12,33,0.11553324045109226,0.06060606060606061,0.04961313670338144,0.02020202020202022
ridge,12,test13,13,0.0637909391760812,0.07692307692307693,0.0692114572634942,0.012820512820512775
ridge,12,test14,15,0.20662100456621008,0.04444444444444445,0.04408148928696873,0.0
ridge,12,test15,21,0.27426553672316384,0.031746031746031744,0.05638418079096047,0.007936507936507908
ridge,12,test2,23,0.0011293054771315258,0.02173913043478265,0.041094171528954115,0.01449275362318836
ridge,12,test3,5,0.004807692307692291,0.30000000000000004,0.16666666666666669,0.06666666666666665
ridge,12,test4,2,0.0714285714285714,0.16666666666666666,0.14285714285714285,0.33333333333333337
ridge,12,test5,19,0.2888198757763975,0.3157894736842105,0.17852133840913648,0.07894736842105254
ridge,12,test6,8,0.10710498409331914,0.125,0.043301519971721464,0.14583333333333337
ridge,12,test7,10,0.11371158392434988,-0.033333333333333326,-0.011820330969267157,0.06666666666666665
ridge,12,test8,7,0.11050420168067232,0.19047619047619047,0.10924369747899157,0.04761904761904756
ridge,12,test9,3,-0.02614379084967322,0.0,0.0032679738562091526,0.0
ridge,123,test1,9,0.10287659200702681,0.12962962962962965,0.058410188844971456,0.0185185185185186
ridge,123,test10,3,0.03532608695652173,-0.1111111111111111,0.02309782608695654,0.16666666666666663
ridge,123,test11,19,0.09403267819085959,0.08771929824561406,0.04937248401610231,0.00877192982456143
ridge,123,test12,33,0.11138694009713979,0.08080808080808083,0.05629609642021946,0.005050505050505083
ridge,123,test13,13,0.04929818555289278,0.03846153846153849,0.04747232682871161,0.012820512820512775
ridge,123,test14,15,0.22585177379697935,0.022222222222222254,0.031260976466455925,0.0
ridge,123,test15,21,0.2635229624657381,0.0,0.03915645801868323,0.023809523809523725
ridge,123,test2,23,0.009787314135140224,0.007246376811594235,0.03243616287094547,0.01449275362318836
ridge,123,test3,5,-0.016025641025641024,0.23333333333333334,0.125,0.06666666666666665
ridge,123,test4,2,0.0714285714285714,0.16666666666666666,0.14285714285714285,0.33333333333333337
ridge,123,test5,19,0.2950310559006211,0.3157894736842105,0.17852133840913648,0.07894736842105254
ridge,123,test6,8,0.12159773771650756,0.125,0.043301519971721464,0.14583333333333337
ridge,123,test7,10,0.07847222222222222,-0.033333333333333326,-0.0069444444444444475,0.033333333333333326
ridge,123,test8,7,0.11050420168067232,0.19047619047619047,0.10924369747899157,0.04761904761904756
ridge,123,test9,3,-0.02614379084967322,0.0,0.0032679738562091526,0.0
ridge,1234,test1,9,0.11374615722441811,0.14814814814814814,0.06927975406236275,0.0185185185185186
ridge,1234,test10,3,0.03532608695652173,-0.1111111111111111,0.02309782608695654,0.16666666666666663
ridge,1234,test11,19,0.10374141605493725,0.09649122807017546,0.05422685294814114,0.00877192982456143
ridge,1234,test12,33,0.12573580102879572,0.06565656565656569,0.0508387689805731,0.015151515151515249
ridge,1234,test13,13,0.07103731598767543,0.0641025641025641,0.06196508045190002,0.012820512820512775
ridge,1234,test14,15,0.20662100456621008,0.04444444444444445,0.04408148928696873,0.0
ridge,1234,test15,21,0.27426553672316384,0.031746031746031744,0.05638418079096047,0.007936507936507908
ridge,1234,test2,23,0.004683247895702736,0.02173913043478265,0.039090352931249045,0.02898550724637683
ridge,1234,test3,5,0.004807692307692291,0.30000000000000004,0.16666666666666669,0.06666666666666665
ridge,1234,test4,2,0.0714285714285714,0.16666666666666666,0.14285714285714285,0.33333333333333337
ridge,1234,test5,19,0.2888198757763975,0.3157894736842105,0.17852133840913648,0.07894736842105254
ridge,1234,test6,8,0.11477761836441891,0.125,0.04053084648493546,0.16666666666666674
ridge,1234,test7,10,0.0888888888888889,-0.033333333333333326,-0.0069444444444444475,0.033333333333333326
ridge,1234,test8,7,0.11050420168067232,0.19047619047619047,0.10924369747899157,0.04761904761904756
ridge,1234,test9,3,-0.02614379084967322,0.0,0.0032679738562091526,0.0
ridge,12345,test1,9,0.10287659200702681,0.12962962962962965,0.058410188844971456,0.0185185185185186
ridge,12345,test10,3,0.03532608695652173,-0.1111111111111111,0.02309782608695654,0.16666666666666663
ridge,12345,test11,19,0.09403267819085959,0.08771929824561406,0.04937248401610231,0.00877192982456143
ridge,12345,test12,33,0.11839856996398623,0.0505050505050505,0.043882477677593484,0.02020202020202022
ridge,12345,test13,13,0.04580723030059192,0.03846153846153849,0.0454623828955687,0.0
ridge,12345,test14,15,0.20662100456621008,0.022222222222222254,0.031260976466455925,0.0
ridge,12345,test15,21,0.2592655367231638,0.007936507936507908,0.041384180790960456,0.007936507936507908
ridge,12345,test2,23,0.0062200659326988594,0.014492753623188415,0.03877174431382305,0.0
